rank,country,real_gdp_purchasing_power_parity,date_of_information
160,"Bahamas, The",$13224000000,2023 est.
161,Eswatini,$12814000000,2023 est.
162,Fiji,$12699000000,2023 est.
163,Suriname,$11824000000,2023 est.
164,Maldives,$11651000000,2023 est.
165,Burundi,$11347000000,2023 est.
166,Bhutan,$10981000000,2022 est.
167,New Caledonia,$10266000000,2021 est.
168,Eritrea,$9702000000,2017 est.
169,Liberia,$8884000000,2023 est.
170,"Gambia, The",$7905000000,2023 est.
171,Monaco,$7672000000,2015 est.
172,Djibouti,$7380000000,2023 est.
173,Isle of Man,$6792000000,2015 est.
174,Bermuda,$6349000000,2022 est.
175,Timor-Leste,$6265000000,2023 est.
176,Lesotho,$5868000000,2023 est.
177,Central African Republic,$5849000000,2023 est.
178,Guam,$5793000000,2016 est.
179,French Polynesia,$5650000000,2021 est.
180,Jersey,$5569000000,2016 est.
181,Cayman Islands,$5467000000,2022 est.
182,Belize,$5257000000,2023 est.
183,Andorra,$5168000000,2023 est.
184,Guinea-Bissau,$5099000000,2023 est.
185,Liechtenstein,$4978000000,2014 est.
186,Barbados,$4920000000,2023 est.
187,Cabo Verde,$4903000000,2023 est.
188,Virgin Islands,$4895000000,2021 est.
189,Aruba,$4498000000,2022 est.
190,Curacao,$4137000000,2022 est.
191,Saint Lucia,$4083000000,2023 est.
192,Greenland,$3857000000,2021 est.
193,Faroe Islands,$3798000000,2022 est.
194,Seychelles,$3530000000,2023 est.
195,Guernsey,$3465000000,2015 est.
196,Comoros,$2961000000,2023 est.
197,Antigua and Barbuda,$2703000000,2023 est.
198,San Marino,$2218000000,2021 est.
199,Gibraltar,$2044000000,2014 est.
200,Solomon Islands,$2025000000,2023 est.
201,Grenada,$2008000000,2023 est.
202,Sint Maarten,$1912000000,2023 est.
203,Saint Vincent and the Grenadines,$1858000000,2023 est.
204,Saint Kitts and Nevis,$1438000000,2023 est.
205,Samoa,$1359000000,2023 est.
206,Sao Tome and Principe,$1267000000,2023 est.
207,Northern Mariana Islands,$1242000000,2016 est.
208,Dominica,$1159000000,2023 est.
209,Turks and Caicos Islands,$1030000000,2023 est.
210,Vanuatu,$999536000,2023 est.
211,Tonga,$700437000,2022 est.
212,American Samoa,$658000000,2016 est.
213,British Virgin Islands,$500000000,2017 est.
214,"Micronesia, Federated States of",$437922000,2023 est.
215,Kiribati,$423828000,2023 est.
216,Palau,$284695000,2023 est.
217,Marshall Islands,$283577000,2023 est.
218,Cook Islands,$266000000,2022 est.
219,Saint Pierre and Miquelon,$261300000,2015 est.
220,Falkland Islands (Islas Malvinas),$206400000,2015 est.
221,Nauru,$145958000,2023 est.
222,Tuvalu,$59202000,2023 est.
223,Niue,$18700000,2021 est.
224,Tokelau,$7711583,2017 est.
