rank,country,youth_unemployment_rate_ages_15_24,date_of_information
180,Moldova,4.2,2023 est.
181,Senegal,4.1,2023 est.
182,Japan,4.1,2023 est.
183,Mali,4.1,2023 est.
184,Cote d'Ivoire,4,2023 est.
185,Guinea-Bissau,4,2023 est.
186,Benin,3.9,2023 est.
187,Kazakhstan,3.8,2023 est.
188,Papua New Guinea,3.7,2023 est.
189,Sierra Leone,3.6,2023 est.
190,Tanzania,3.5,2023 est.
191,Togo,3.3,2023 est.
192,Timor-Leste,3.2,2023 est.
193,Solomon Islands,3,2023 est.
194,Cuba,3,2023 est.
195,Liberia,2.3,2023 est.
196,Laos,2.2,2023 est.
197,Burundi,1.7,2023 est.
198,Chad,1.5,2023 est.
199,Niger,0.8,2023 est.
200,Cambodia,0.8,2023 est.
201,Qatar,0.6,2023 est.
