rank,country,telephones_fixed_lines,date_of_information
185,Equatorial Guinea,11000,2022 est.
186,Saint Vincent and the Grenadines,11000,2022 est.
187,Tonga,11000,2021 est.
188,Liechtenstein,11000,2022 est.
189,Rwanda,10000,2022 est.
190,American Samoa,10000,2021 est.
191,Malawi,9000,2022 est.
192,Palau,8000,2022 est.
193,Cook Islands,7000,2021 est.
194,Lesotho,7000,2022 est.
195,Solomon Islands,7000,2021 est.
196,Dominica,7000,2021 est.
197,"Micronesia, Federated States of",7000,2021 est.
198,Comoros,7000,2022 est.
199,Greenland,6000,2020 est.
200,Anguilla,6000,2021 est.
201,Liberia,6000,2021 est.
202,Haiti,6000,2021 est.
203,Samoa,5000,2022 est.
204,Chad,5000,2022 est.
205,Guinea-Bissau,4800,2009 est.
206,Saint Pierre and Miquelon,4800,2015 est.
207,"Saint Helena, Ascension, and Tristan da Cunha",4000,2021 est.
208,Turks and Caicos Islands,4000,2021 est.
209,Wallis and Futuna,3000,2021 est.
210,Vanuatu,3000,2022 est.
211,Montserrat,3000,2020 est.
212,Sao Tome and Principe,3000,2022 est.
213,Timor-Leste,2000,2022 est.
214,Marshall Islands,2000,2014 est.
215,Central African Republic,2000,2021 est.
216,Tuvalu,2000,2021 est.
217,Benin,2000,2022 est.
218,Falkland Islands (Islas Malvinas),2000,2021 est.
219,Niue,1000,2021 est.
220,Tokelau,300,2010 est.
221,Sierra Leone,269,2021 est.
222,Guinea,0,2021 est.
223,Kiribati,0,2022 est.
224,"Congo, Democratic Republic of the",0,2021 est.
