rank,country,obesity_adult_prevalence_rate,date_of_information
179,Laos,5.3,2016 est.
180,Uganda,5.3,2016 est.
181,Madagascar,5.3,2016 est.
182,Sri Lanka,5.2,2016 est.
183,Eritrea,5,2016 est.
184,"Korea, South",4.7,2016 est.
185,Ethiopia,4.5,2016 est.
186,Japan,4.3,2016 est.
187,Nepal,4.1,2016 est.
188,Cambodia,3.9,2016 est.
189,India,3.9,2016 est.
190,Timor-Leste,3.8,2016 est.
191,Bangladesh,3.6,2016 est.
192,Vietnam,2.1,2016 est.
