rank,country,telephones_mobile_cellular,date_of_information
180,Belize,264000,2021 est.
181,New Caledonia,260000,2021 est.
182,Vanuatu,256000,2022 est.
183,Seychelles,205000,2022 est.
184,Sao Tome and Principe,197000,2022 est.
185,Antigua and Barbuda,184000,2021 est.
186,Saint Lucia,172000,2021 est.
187,Curacao,168000,2021 est.
188,Aruba,141000,2021 est.
189,Samoa,134000,2022 est.
190,Jersey,124083,2021 est.
191,Andorra,114000,2022 est.
192,Saint Vincent and the Grenadines,104000,2022 est.
193,Grenada,101000,2021 est.
194,Cayman Islands,100000,2021 est.
195,Guam,98000,2009 est.
196,Virgin Islands,80000,2021 est.
197,Guernsey,71485,2021 est.
198,Saint Martin,68840,2012 est.
199,Sint Maarten,68840,2012 est.
200,Bermuda,68000,2021 est.
201,Greenland,67000,2021 est.
202,Kiribati,64000,2022 est.
203,Tonga,64000,2021 est.
204,Dominica,62000,2021 est.
205,Faroe Islands,59000,2021 est.
206,Saint Kitts and Nevis,57000,2021 est.
207,Liechtenstein,50000,2022 est.
208,San Marino,41000,2022 est.
209,Monaco,39000,2022 est.
210,British Virgin Islands,38000,2021 est.
211,Gibraltar,37000,2022 est.
212,Anguilla,26000,2021 est.
213,Turks and Caicos Islands,25085,2004 est.
214,Palau,24000,2022 est.
215,"Micronesia, Federated States of",22000,2021 est.
216,Northern Mariana Islands,20474,2004 est.
217,Cook Islands,17000,2021 est.
218,Marshall Islands,16000,2021 est.
219,Nauru,10000,2021 est.
220,Tuvalu,9000,2021 est.
221,Falkland Islands (Islas Malvinas),6000,2021 est.
222,Montserrat,5000,2020 est.
223,"Saint Helena, Ascension, and Tristan da Cunha",4000,2021 est.
224,American Samoa,2250,2009 est.
225,Wallis and Futuna,0,2018 est.
