rank,country,exports,date_of_information
161,Barbados,$2228000000,2017 est.
162,Syria,$2224000000,2021 est.
163,Faroe Islands,$2219000000,2022 est.
164,Tajikistan,$2105000000,2023 est.
165,Eswatini,$2095000000,2022 est.
166,Curacao,$2049000000,2022 est.
167,New Caledonia,$1920000000,2021 est.
168,Togo,$1722000000,2020 est.
169,Malawi,$1487000000,2022 est.
170,Afghanistan,$1476000000,2020 est.
171,Belize,$1462000000,2023 est.
172,Saint Lucia,$1415000000,2023 est.
173,Niger,$1376000000,2022 est.
174,Sint Maarten,$1372000000,2022 est.
175,Haiti,$1355000000,2022 est.
176,Liberia,$1220000000,2022 est.
177,Antigua and Barbuda,$1217000000,2023 est.
178,Sierra Leone,$1195000000,2022 est.
179,Greenland,$1147000000,2021 est.
180,Bermuda,$1136000000,2021 est.
181,Monaco,$964600000,2017 est.
182,Cabo Verde,$951224000,2023 est.
183,Grenada,$899153000,2023 est.
184,Lesotho,$886278000,2023 est.
185,Turks and Caicos Islands,$826824000,2018 est.
186,Somalia,$819000000,2014 est.
187,Bhutan,$815050000,2023 est.
188,Timor-Leste,$701808000,2023 est.
189,Eritrea,$624300000,2017 est.
190,Saint Kitts and Nevis,$577568000,2023 est.
191,Solomon Islands,$546025000,2023 est.
192,American Samoa,$409000000,2022 est.
193,Yemen,$384500000,2017 est.
194,Saint Vincent and the Grenadines,$347827000,2023 est.
195,Samoa,$347190000,2023 est.
196,Central African Republic,$293074000,2022 est.
197,Burundi,$285105000,2018 est.
198,Guinea-Bissau,$280065000,2022 est.
199,"Gambia, The",$267377000,2022 est.
200,Falkland Islands (Islas Malvinas),$257300000,2015 est.
201,"Korea, North",$222000000,2018 est.
202,Gibraltar,$202300000,2014 est.
203,Nauru,$187000000,2021 est.
204,Guam,$186000000,2021 est.
205,Dominica,$185062000,2023 est.
206,"Micronesia, Federated States of",$179000000,2021 est.
207,Comoros,$165347000,2022 est.
208,French Polynesia,$162000000,2021 est.
209,Vanuatu,$152087000,2022 est.
210,Marshall Islands,$130016000,2021 est.
211,Northern Mariana Islands,$128000000,2020 est.
212,Sao Tome and Principe,$96977000,2022 est.
213,Tonga,$59926000,2022 est.
214,Cook Islands,$31400000,2021 est.
215,Palau,$24480000,2022 est.
216,British Virgin Islands,$23000000,2017 est.
217,Kiribati,$19677000,2022 est.
218,Montserrat,$11900000,2021 est.
219,Anguilla,$7900000,2017 est.
220,Niue,$5680000,2021 est.
221,Tuvalu,$2232000,2022 est.
222,Tokelau,$103000,2015 est.
