rank,country,infant_mortality_rate,date_of_information
174,Slovakia,5.1,2024 est.
175,United Arab Emirates,5,2024 est.
176,Bosnia and Herzegovina,5,2024 est.
177,Poland,4.9,2024 est.
178,New Caledonia,4.8,2024 est.
179,Latvia,4.7,2024 est.
180,Hungary,4.7,2024 est.
181,Serbia,4.5,2024 est.
182,Malta,4.4,2024 est.
183,Macau,4.4,2024 est.
184,French Polynesia,4.3,2024 est.
185,Canada,4.3,2024 est.
186,Isle of Man,4.1,2024 est.
187,Cuba,4,2024 est.
188,Wallis and Futuna,3.9,2024 est.
189,Liechtenstein,3.9,2024 est.
190,United Kingdom,3.8,2024 est.
191,Taiwan,3.8,2024 est.
192,Jersey,3.7,2024 est.
193,Lithuania,3.6,2024 est.
194,Netherlands,3.6,2024 est.
195,Greece,3.4,2024 est.
196,Estonia,3.3,2024 est.
197,Guernsey,3.3,2024 est.
198,Ireland,3.3,2024 est.
199,New Zealand,3.3,2024 est.
200,Andorra,3.3,2024 est.
201,Austria,3.2,2024 est.
202,Montenegro,3.2,2024 est.
203,Luxembourg,3.2,2024 est.
204,France,3.1,2024 est.
205,Belgium,3.1,2024 est.
206,Germany,3.1,2024 est.
207,Italy,3.1,2024 est.
208,Anguilla,3,2024 est.
209,Switzerland,3,2024 est.
210,Denmark,3,2024 est.
211,Australia,2.9,2024 est.
212,"Korea, South",2.8,2024 est.
213,Israel,2.8,2024 est.
214,Czechia,2.6,2024 est.
215,Hong Kong,2.5,2024 est.
216,Portugal,2.4,2024 est.
217,Spain,2.4,2024 est.
218,Sweden,2.3,2024 est.
219,Belarus,2.1,2024 est.
220,Bermuda,2.1,2024 est.
221,Finland,2.1,2024 est.
222,Japan,1.9,2024 est.
223,Norway,1.8,2024 est.
224,Monaco,1.7,2024 est.
225,Iceland,1.6,2024 est.
226,Singapore,1.5,2024 est.
227,Slovenia,1.5,2024 est.
