rank,country,reserves_of_foreign_exchange_and_gold,date_of_information
137,Luxembourg,$1055000000,31 December 2019 est.
138,Fiji,$1043000000,31 December 2019 est.
139,Cyprus,$1033000000,31 December 2019 est.
140,Slovenia,$1015000000,31 December 2019 est.
141,Aruba,$982300000,31 December 2019 est.
142,Bhutan,$976260000,2021 est.
143,Kosovo,$965832000,31 December 2019 est.
144,Malta,$937616000,31 December 2019 est.
145,Lesotho,$774095000,2019 est.
146,Barbados,$772119000,31 December 2019 est.
147,Maldives,$753496300,31 December 2019 est.
148,Cabo Verde,$737991000,31 December 2019 est.
149,Benin,$698900000,31 December 2017 est.
150,West Bank,$658352000,31 December 2019 est.
151,Gaza Strip,$658352000,31 December 2019 est.
152,Timor-Leste,$656221000,31 December 2019 est.
153,Suriname,$647935000,31 December 2019 est.
154,Mali,$647800000,31 December 2017 est.
155,Malawi,$594498000,2020 est.
156,Palau,$580900000,31 December 2015 est.
157,Seychelles,$580546000,31 December 2019 est.
158,Guyana,$573446000,31 December 2019 est.
159,Solomon Islands,$571632000,31 December 2019 est.
160,Sierra Leone,$530138000,31 December 2019 est.
161,Vanuatu,$511546000,31 December 2019 est.
162,Djibouti,$501858000,31 December 2019 est.
163,"Micronesia, Federated States of",$497434000,2021 est.
164,San Marino,$473111000,31 December 2019 est.
165,Eswatini,$440314200,31 December 2019 est.
166,"Congo, Republic of the",$423617000,31 December 2018 est.
167,Syria,$407300000,31 December 2017 est.
168,Saint Kitts and Nevis,$362798000,31 December 2019 est.
169,Central African Republic,$361797000,31 December 2018 est.
170,Guinea-Bissau,$356400000,31 December 2017 est.
171,Liberia,$297071000,31 December 2019 est.
172,Antigua and Barbuda,$279133000,31 December 2019 est.
173,Belize,$277578800,31 December 2019 est.
174,Saint Lucia,$260870000,31 December 2019 est.
175,"Gambia, The",$256957000,31 December 2019 est.
176,Grenada,$236325000,31 December 2019 est.
177,Tonga,$218448000,31 December 2019 est.
178,Cayman Islands,$216800000,2020 est.
179,Comoros,$202031700,31 December 2019 est.
180,Saint Vincent and the Grenadines,$193357000,31 December 2019 est.
181,Eritrea,$191694000,2019 est.
182,South Sudan,$183615000,2020 est.
183,Sudan,$177934000,2017 est.
184,Samoa,$177244000,31 December 2019 est.
185,Dominica,$155172000,31 December 2019 est.
186,Zimbabwe,$151241000,31 December 2019 est.
187,Chad,$147750000,31 December 2018 est.
188,Burundi,$111374000,31 December 2019 est.
189,Togo,$77800000,31 December 2017 est.
190,Anguilla,$76380000,31 December 2017 est.
191,Burkina Faso,$49000000,31 December 2017 est.
192,Equatorial Guinea,$48930000,31 December 2018 est.
193,Montserrat,$47580000,31 December 2017 est.
194,Sao Tome and Principe,$47148000,31 December 2019 est.
195,Somalia,$30450000,2014 est.
