rank,country,real_gdp_per_capita,date_of_information
177,Tuvalu,$5200,2023 est.
178,Cambodia,$5100,2023 est.
179,Cameroon,$4800,2023 est.
180,Nepal,$4700,2023 est.
181,Tajikistan,$4600,2023 est.
182,Timor-Leste,$4600,2023 est.
183,Senegal,$4400,2023 est.
184,Papua New Guinea,$4200,2023 est.
185,Guinea,$4000,2023 est.
186,Benin,$3800,2023 est.
187,"Micronesia, Federated States of",$3800,2023 est.
188,Zambia,$3700,2023 est.
189,Tanzania,$3600,2023 est.
190,Zimbabwe,$3500,2023 est.
191,Comoros,$3500,2023 est.
192,Kiribati,$3200,2023 est.
193,Vanuatu,$3000,2023 est.
194,Rwanda,$3000,2023 est.
195,Haiti,$2900,2023 est.
196,"Gambia, The",$2900,2023 est.
197,Syria,$2900,2021 est.
198,Ethiopia,$2800,2023 est.
199,Sudan,$2800,2023 est.
200,Uganda,$2800,2023 est.
201,Togo,$2800,2023 est.
202,Solomon Islands,$2700,2023 est.
203,Lesotho,$2500,2023 est.
204,Yemen,$2500,2017 est.
205,Burkina Faso,$2500,2023 est.
206,Mali,$2500,2023 est.
207,Guinea-Bissau,$2400,2023 est.
208,Afghanistan,$2000,2022 est.
209,Chad,$1800,2023 est.
210,Malawi,$1700,2023 est.
211,"Korea, North",$1700,2015 est.
212,Madagascar,$1700,2023 est.
213,Sierra Leone,$1700,2023 est.
214,Liberia,$1600,2023 est.
215,South Sudan,$1600,2017 est.
216,Eritrea,$1600,2017 est.
217,Niger,$1600,2023 est.
218,Mozambique,$1500,2023 est.
219,"Congo, Democratic Republic of the",$1500,2023 est.
220,Somalia,$1500,2023 est.
221,Central African Republic,$1000,2023 est.
222,Burundi,$900,2023 est.
