rank,country,public_debt,date_of_information
180,Kazakhstan,22.41,2021 est.
181,Guam,22.1,2016 est.
182,Nigeria,21.8,2017 est.
183,Kosovo,21.2,2017 est.
184,Kuwait,20.6,2017 est.
185,Anguilla,20.1,2015 est.
186,United Arab Emirates,19.7,2017 est.
187,Botswana,19.62,2020 est.
188,Russia,19.51,2022 est.
189,Paraguay,19.5,2017 est.
190,Switzerland,17.8,2022 est.
191,Saudi Arabia,17.2,2017 est.
192,Azerbaijan,16.82,2021 est.
193,"Congo, Democratic Republic of the",15.99,2022 est.
194,Solomon Islands,15.39,2022 est.
195,Greenland,13,2015 est.
196,American Samoa,12.2,2016 est.
197,Northern Mariana Islands,7.1,2017 est.
198,Afghanistan,7,2017 est.
199,New Caledonia,6.5,2015 est.
200,Libya,4.7,2017 est.
201,Namibia,4.64,2019 est.
202,Timor-Leste,3.8,2017 est.
203,Lesotho,2.99,2020 est.
204,Brunei,2.8,2017 est.
205,Hong Kong,0.1,2017 est.
206,Falkland Islands (Islas Malvinas),0,2015 est.
207,Macau,0,2017 est.
