rank,country,net_migration_rate,date_of_information
175,Dominican Republic,-2.7,2024 est.
176,Kiribati,-2.8,2024 est.
177,Mali,-2.9,2024 est.
178,Bangladesh,-2.9,2024 est.
179,Sri Lanka,-3,2024 est.
180,Central African Republic,-3.1,2024 est.
181,United Arab Emirates,-3.1,2024 est.
182,Rwanda,-3.1,2024 est.
183,Uganda,-3.1,2024 est.
184,Zimbabwe,-3.2,2024 est.
185,Albania,-3.2,2024 est.
186,Gibraltar,-3.2,2024 est.
187,Romania,-3.3,2024 est.
188,Guinea-Bissau,-3.5,2024 est.
189,Wallis and Futuna,-3.6,2024 est.
190,Gaza Strip,-3.7,2024 est.
191,West Bank,-3.8,2024 est.
192,Timor-Leste,-3.8,2024 est.
193,Georgia,-3.8,2024 est.
194,Tokelau,-3.84,2021 est.
195,Lithuania,-4.1,2024 est.
196,Kuwait,-4.2,2024 est.
197,Marshall Islands,-4.3,2024 est.
198,Nepal,-4.4,2024 est.
199,Lesotho,-4.5,2024 est.
200,Kyrgyzstan,-4.8,2024 est.
201,Latvia,-4.9,2024 est.
202,Greenland,-4.9,2024 est.
203,Montenegro,-5,2024 est.
204,Armenia,-5.2,2024 est.
205,Dominica,-5.3,2024 est.
206,Fiji,-5.5,2024 est.
207,Svalbard,-5.57,2021 est.
208,Saint Vincent and the Grenadines,-5.8,2024 est.
209,Eswatini,-6,2024 est.
210,Poland,-6.2,2024 est.
211,Saint Martin,-6.2,2024 est.
212,Tuvalu,-6.3,2024 est.
213,Sao Tome and Principe,-6.5,2024 est.
214,Guyana,-6.6,2024 est.
215,Saint Pierre and Miquelon,-6.8,2024 est.
216,Samoa,-6.9,2024 est.
217,Jamaica,-7.1,2024 est.
218,Virgin Islands,-7.3,2024 est.
219,El Salvador,-7.7,2024 est.
220,Eritrea,-8.7,2024 est.
221,Puerto Rico,-9.6,2024 est.
222,Nauru,-9.8,2024 est.
223,Jordan,-10.9,2024 est.
224,Guam,-10.9,2024 est.
225,Maldives,-12.8,2024 est.
226,Northern Mariana Islands,-13.4,2024 est.
227,Tonga,-18.1,2024 est.
228,"Micronesia, Federated States of",-21,2024 est.
229,American Samoa,-24.8,2024 est.
230,Cook Islands,-25.1,2024 est.
