rank,country,taxes_and_other_revenues,date_of_information
178,Paraguay,10.27,2022 est.
179,Angola,10.09,2019 est.
180,Afghanistan,9.9,2017 est.
181,Kazakhstan,9.45,2021 est.
182,Madagascar,9.25,2022 est.
183,Guinea-Bissau,9.16,2019 est.
184,Gabon,9.13,2021 est.
185,Switzerland,9.1,2022 est.
186,Yemen,9,2017 est.
187,Puerto Rico,8.9,2017 est.
188,South Sudan,8.5,FY2017/18 est.
189,Central African Republic,8.21,2021 est.
190,Saudi Arabia,7.77,2022 est.
191,China,7.7,2022 est.
192,Bangladesh,7.64,2021 est.
193,Panama,7.46,2021 est.
194,Sudan,7.39,2016 est.
195,Sri Lanka,7.28,2022 est.
196,Zimbabwe,7.21,2018 est.
197,"Micronesia, Federated States of",7.05,2020 est.
198,Equatorial Guinea,6.69,2022 est.
199,"Congo, Republic of the",6.51,2021 est.
200,Burma,6.02,2019 est.
201,Lebanon,5.68,2021 est.
202,Ethiopia,4.51,2022 est.
203,Syria,4.2,2017 est.
204,Nigeria,3.4,2017 est.
205,Bahrain,2.92,2020 est.
206,Iraq,1.34,2019 est.
207,United Arab Emirates,0.57,2022 est.
208,Somalia,0,2020 est.
